Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,750.812314,769.2637842,778.3984227,837.8887554,910.0168114,930.2053408,952.5845927,936.6913536,899.5406137,924.9878936,954.6995755,971.809931,980.1469866,992.9279822,986.8833563,1051.667791,1165.081173,1240.920195,1315.597692,1341.363601,1438.005604,1504.105465,1610.469747,1647.299383,1758.713346,1810.020409,1844.707563,1864.046511,1913.093511,1954.416879,2012.879978,1987.03665,2028.224741,2039.693862,2073.653323,2122.880542,2181.252772,2251.988634,2327.101541,2416.362326,2517.580506,2553.528409,2560.457409,2587.630508,2639.347069,2703.222583,2832.5482,2974.687871,3125.74753,3208.452267,3305.883247,3290.761828,3288.794355,3283.74072,3301.204443,3370.382447,3444.268262,3517.587895,3635.420582,3769.03577,3835.784215,3896.842853,4088.897045,4177.61446
Euro area,EMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9964.305246,10446.12633,10952.10577,11389.50376,11954.38443,12447.21299,12887.90984,13238.02946,13890.19714,14778.14143,15517.87131,16012.86306,16682.43673,17597.1789,18061.8136,17832.95436,18648.06414,19145.92362,19661.3206,20336.58384,20683.60254,20709.27066,20796.42643,21041.93865,21506.91157,21963.0789,22458.81822,22965.59562,23876.31603,24751.56337,25528.78134,25992.7239,26170.47623,25871.47108,26424.43214,27003.39397,27399.66504,28081.08874,28872.83324,29650.40015,30699.95837,31272.49746,31420.52682,31472.22758,32022.26949,32398.28102,33293.90528,34121.34712,34101.42201,32451.4344,33077.53929,33718.37601,33360.08674,33176.48223,33528.40457,34118.36594,34657.58734,35497.86704,36051.23186,36586.02351,34306.71946,36354.44809,37450.1066,37399.93493
Eritrea,ERI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.1630234,661.3031953,777.6679748,757.358524,788.428128,840.5770172,843.9888355,832.0224896,793.6205616,838.8989132,835.1099976,780.4681392,760.3487878,761.0317824,741.0007433,739.7393434,649.6944623,657.7864582,658.5862715,702.3966325,,,,,,,,,,,,
Spain,ESP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6217.672193,6889.459768,7505.823239,8154.288312,8502.251806,8936.345507,9486.237695,9776.908027,10286.49732,11092.86439,11436.03312,11824.39246,12647.6295,13482.88221,14085.71108,14009.77548,14320.48044,14576.19511,14647.72461,14525.19228,14727.28352,14603.59093,14697.11364,14884.57747,15087.43895,15381.84457,15834.88287,16669.97704,17482.08699,18297.2444,18969.80864,19403.33038,19487.95121,19187.18231,19551.14529,20001.7908,20448.60149,21117.01858,21953.66752,22846.71775,23937.96855,24707.36707,25026.08647,25310.45639,25654.33655,26145.80858,26762.26726,27218.44926,27025.29494,25778.95647,25702.34684,25402.60507,24634.96209,24368.96824,24783.08295,25754.36103,26514.32481,27239.35244,27739.86477,28087.89792,24829.64859,26391.59723,27702.7453,28046.95064
Estonia,EST,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9297.697206,8596.958176,6901.858695,6675.308654,6707.596637,7137.530776,7601.669019,8692.296438,9157.064847,9091.333194,9960.139039,10625.57927,11417.16797,12362.24828,13282.54552,14631.38733,16155.20743,17459.09831,16607.56806,14205.39488,14585.83866,15692.78883,16257.4722,16553.38326,17096.64458,17402.03761,17945.94496,18962.4103,19611.61099,20327.01587,20091.04576,21524.68363,21140.99722,20245.2034
Ethiopia,ETH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,236.2178438,240.2847755,244.7503153,248.1506747,255.5338001,267.0554034,270.7128065,274.2717676,270.4872964,272.2162935,282.0965071,286.2334141,292.9888397,294.9477367,291.5478506,284.833374,287.1019698,290.1121697,282.7934388,299.3531095,304.8504325,296.1141761,311.9342013,295.5696102,255.56956,272.3562631,299.9960168,290.2655533,278.6719895,276.2122168,245.9199854,215.6362876,235.9031202,235.4255318,241.7817889,263.2558821,263.1443994,246.3872804,251.377724,258.870525,272.2885509,268.4236018,255.1002658,281.5203253,305.979355,329.6792788,357.1179315,384.5726584,406.8569279,445.1823356,481.0378573,508.0657097,546.592835,586.5736135,630.3126194,671.2905759,715.7487347,744.3675203,785.484972,811.2555399,834.9912914,857.3487002,890.3496172
European Union,EUU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8604.849005,9024.449479,9457.957789,9827.279696,10326.81424,10777.10237,11149.17934,11457.45614,12007.14586,12761.03278,13388.7015,13803.31085,14364.94402,15131.67534,15510.33275,15329.60677,15992.2667,16380.5409,16804.03904,17373.90358,17648.6977,17669.03547,17756.91313,17965.30952,18372.44813,18754.50318,19184.75307,19614.91546,20356.33622,21075.86879,21700.78239,21933.87581,22064.37284,21851.76314,22372.50524,22928.37076,23321.72006,23904.51241,24591.27792,25274.69412,26229.11933,26764.45277,26999.68996,27148.09972,27747.63895,28181.69343,29072.08545,29889.15066,29984.52596,28612.79141,29208.52056,29816.62676,29563.74361,29467.46172,29864.54238,30487.65237,31022.99303,31855.48976,32456.7455,33015.65141,31126.70256,33034.966,34169.43213,34162.57197
Fragile and conflict affected situations,FCS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1149.824509,1123.549782,1186.282719,1235.84373,1271.805494,1322.594802,1305.504061,1203.616852,1250.40888,1382.657295,1517.69741,1597.50328,1621.250563,1646.920047,1785.844727,1742.504669,1853.733883,1899.777587,1852.909246,1923.979308,1980.969939,1812.745724,1759.349901,1638.889463,1582.810678,1612.145011,1574.482706,1562.688257,1584.466918,1565.321915,1603.743161,1474.656735,1441.088349,1376.526459,1292.851088,1255.582362,1269.772491,1299.189906,1333.726695,1344.660176,1386.941843,1412.161567,1444.339911,1423.942278,1546.770853,1598.165681,1651.198399,1709.745676,1753.723365,1763.548863,1841.491676,1798.287755,1852.892959,1871.647611,1867.163135,1845.312304,1843.536368,1848.816352,1857.92936,1862.88632,1705.422086,1744.126849,1739.654293,1728.121758
Finland,FIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11142.85734,11905.91633,12177.85324,12489.29847,13070.65693,13717.96672,13990.93327,14217.1707,14479.47838,15877.74773,17128.63075,17510.2266,18752.77916,19948.82744,20486.93864,20764.33697,20773.13091,20764.71662,21309.71272,22769.10727,23921.61452,24133.24211,24744.29678,25363.85522,26045.51387,26857.59364,27508.19999,28410.8751,29806.34333,31209.75811,31279.95197,29278.36366,28155.08956,27833.70257,28812.30362,29912.89797,30908.30031,32768.37813,34464.99088,35891.00564,37884.39132,38784.77255,39351.3904,40044.30486,41522.17508,42530.61968,44074.03092,46212.64097,46358.62041,42412.09785,43563.5722,44466.8177,43637.24867,43044.99712,42710.92129,42801.90812,43878.96673,45173.62941,45627.91989,46135.88142,44984.73445,46165.68655,46655.16536,45939.29165
Fiji,FJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2151.184607,2158.668178,2167.690172,2234.020355,2271.802139,2145.436478,2086.067117,2305.919188,2432.655055,2442.839706,2697.408865,2827.679855,2984.323675,3275.143709,3306.621583,3269.263363,3296.861376,3417.622056,3400.05058,3723.181004,3574.119739,3708.042945,3402.223088,3189.1664,3374.28568,3143.840675,3318.167368,3048.912416,3039.426382,3230.297889,3383.821593,3273.9914,3464.756447,3528.06942,3700.475253,3786.078519,3946.43048,3821.069166,3826.160061,4114.960635,4000.854327,4038.133153,4125.326358,4125.729633,4302.347574,4291.715471,4330.827197,4257.514495,4272.306609,4191.347242,4297.138927,4397.90301,4446.734166,4645.046481,4894.043571,5105.189592,5223.376008,5499.122203,5708.91093,5679.051827,4701.331468,4451.602599,5313.028438,5698.964205
France,FRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11169.64724,11598.67953,12257.75931,12884.01704,13587.67167,14089.58455,14670.50051,15234.3647,15767.28334,16738.16767,17605.63897,18377.86891,19041.78973,20091.19401,20813.4449,20498.34808,21291.98899,21925.8324,22687.61151,23378.29499,23618.39962,23733.59357,24187.09477,24356.65929,24600.99236,24870.50582,25319.31509,25830.23898,26912.18121,27938.46976,28617.44357,28664.13188,28977.8889,28670.88633,29237.53551,29745.12873,30057.96555,30650.74448,31633.14775,32546.93405,33592.46683,34009.8624,34146.30627,34183.66334,34893.52981,35208.8558,35821.87199,36464.95927,36354.65866,35129.36224,35638.12156,36244.18716,36182.15113,36203.19087,36378.61866,36652.92231,36956.7958,37694.0833,38259.69777,38832.0242,35806.61789,38002.19424,38816.47928,38975.57662
Faroe Islands,FRO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44678.66958,42740.25394,42510.34665,44108.58035,47197.67409,49933.35032,52595.02543,52726.68738,52762.42872,53822.9099,54506.38707,56099.96896,54248.5498,56856.68539,59699.20083,
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,1708.146802,1698.959705,1673.183471,2183.933245,2454.774173,2399.1731,2355.743295,2359.85508,2429.266561,2409.419208,2171.993617,2315.457461,2191.016293,2170.536263,2026.499791,2296.841328,2413.417838,2377.976171,2383.597208,2421.52586,2466.076345,2601.123567,2640.538206,2771.012726,2684.94359,2834.630123,2733.100628,2559.409442,2625.915211,2658.8326,2783.116177,2837.372548,2851.772051,2901.44992,2821.341879,2891.873288,2906.269003,2872.934132,2825.095854,2878.111386,2950.798726,3036.448494,2970.265188,2851.035434,2774.694714,2891.322103,2893.08195,2903.554275,2890.493005,2996.317305,2918.516064,2973.05151,2923.222952,2919.047164
Gabon,GAB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3304.691632,3748.952243,3978.992592,4167.211049,4298.586353,4591.270721,4727.335596,4846.113464,4888.233758,5183.783516,5515.177414,5956.281975,6497.312189,7012.41431,9575.903292,11165.45181,14801.34115,12636.07076,9365.343731,9177.128345,9174.080738,9392.925877,8863.576886,9112.391764,9534.277455,9061.080192,8744.675536,7047.760491,7735.555379,8167.950119,8360.263031,8634.419934,8146.195543,8245.591508,8331.049832,8524.419156,8613.580568,8882.402879,8963.204979,7959.064796,7611.835714,7574.114915,7357.566714,7322.606141,7171.683533,7155.365485,6750.050849,6937.485134,6497.481239,6295.199055,6514.731163,6735.082879,6840.948612,6977.770269,7039.682149,7090.454634,7038.577278,6893.384327,6786.89035,6893.323105,6619.688603,6577.411772,6637.066106,6654.756571
United Kingdom,GBR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15135.11195,15426.20162,15463.89416,16094.47165,16884.77462,17134.04131,17306.93164,17691.79158,18569.39872,18850.93895,19284.48692,19877.15982,20665.99606,21971.72431,21412.35121,21098.37436,21717.73594,22258.81983,23193.39543,24041.33802,23524.83697,23331.3957,23805.36267,24801.93163,25324.60262,26315.12865,27081.34897,28481.14927,30047.00885,30741.37384,30874.50893,30439.64586,30479.197,31163.27534,32279.53374,33009.30415,33775.5009,35347.76354,36448.26422,37440.79406,38918.45506,39768.66635,40310.30494,41385.54047,42149.27034,43007.36292,43711.15502,44508.6058,44060.0031,41709.96617,42310.74991,42462.10673,42805.84252,43282.20975,44337.67864,44964.39114,45482.17829,46373.63853,46740.55359,47240.59962,42191.91737,45889.61102,47343.47438,47005.11901
Georgia,GEO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,1789.993422,1902.996065,2002.255619,2072.582853,2151.355845,2387.468102,2421.141782,2464.772102,2601.538917,2806.253644,2991.210073,3150.857258,3345.207149,3572.82136,3808.019059,3948.865351,4122.876591,4169.979244,4311.298716,4506.668137,4688.071865,4266.724946,4285.872595,4479.400183,4146.256808,3534.032277,2768.810161,1513.850174,1062.095281,966.4195962,1029.480546,1187.123206,1354.783522,1431.793361,1503.462988,1561.198676,1661.830191,1768.597012,1977.461433,2105.004728,2321.600843,2554.812535,2891.137023,2970.158583,2887.256079,3090.065137,3362.103003,3609.780799,3806.506006,3960.350801,4086.622347,4225.091549,4442.507441,4713.653548,4975.811482,4659.609253,5175.198652,5736.304496,6086.592688
Ghana,GHA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1107.988688,1114.148647,1132.504344,1154.333184,1151.738118,1139.535299,1064.899758,1071.406994,1049.546497,1085.290776,1159.638311,1187.043326,1125.742668,1125.616951,1168.581877,994.1550241,931.7581576,925.0873388,973.1371958,919.6288833,896.7450516,840.6947036,759.3573423,702.4236455,742.6689005,762.8190704,784.0859727,802.2115507,826.5183747,846.5829135,852.4215609,874.9860794,886.6527578,907.1963526,915.2893121,931.1804383,951.9227998,968.846043,990.1750319,1008.833689,1020.162209,1033.121364,1050.344024,1075.371884,1105.685641,1140.186433,1181.558986,1201.210823,1277.823002,1306.185153,1374.985034,1530.359342,1631.91937,1708.828013,1715.823971,1711.271326,1728.097086,1827.273927,1899.808432,1981.61376,1951.064478,2009.359093,2046.007619,2066.375224
Gibraltar,GIB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,459.9532588,476.0964483,478.8604865,478.3789662,495.4843862,501.8582426,533.3984837,507.7068502,533.7992417,518.6863109,522.8245472,516.1700421,514.9631463,510.6421565,506.3073745,519.1693447,522.1480418,525.5351004,544.0676685,551.187861,555.29545,547.277226,547.2721132,557.4254627,562.316641,571.9827514,580.8000659,598.4561102,608.6440228,617.7513982,620.9044564,635.331826,657.8567571,651.305257,652.50422,658.8943813,653.1193781,681.8281758,693.1141054,668.8147425,683.9846533,704.7373237,728.3684373,738.8405928,747.3634109,756.4255898,816.8470793,878.1792715,910.6526419,937.7031315,959.431973,972.7790298,994.4369972,1039.809828
"Gambia, The",GMB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,537.3674905,522.5479369,556.5063517,553.9300556,571.2860525,554.5622493,539.8013467,572.4406091,588.3496435,641.8407795,668.322498,670.0595689,690.1114143,659.2178682,677.7084107,677.3532154,649.9286488,695.9402732,695.0038558,664.2634128,665.7547493,656.3039896,659.3360893,671.0446035,667.6238221,661.1002094,656.9906265,652.9383593,633.5704196,620.4930816,615.9839026,627.5563464,630.7529454,651.7491895,667.9653792,686.6876858,645.7017321,670.6609409,697.4724524,661.3219111,638.0769465,637.5310007,656.7039095,679.0036124,697.1625678,620.9482229,633.5827209,632.1971516,605.033694,611.6712191,606.3162003,618.4807687,645.9381872,668.6351226,655.5761192,672.802271,688.6527914,707.5587401
Guinea-Bissau,GNB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,523.5343748,500.6576366,531.2789579,530.716508,536.7834531,547.251787,540.4036933,471.0350851,500.8376719,493.8700904,410.1603832,476.9355097,489.0533855,464.9802255,499.426946,512.2142866,500.3467744,506.9344038,522.0039507,545.0845422,569.238657,586.0468619,575.6679981,568.9261933,569.4276259,579.7936081,633.7853652,662.3004316,504.2601989,578.113566,572.8998402,587.6518056,595.7172949,580.4803186,573.612005,596.7511328,597.7690534,597.6525451,608.8043793,607.8759671,625.5553754,658.5680954,630.1725495,633.4306422,622.8278335,644.1790639,661.4893133,676.4736237,685.4629498,699.7683272,694.2786536,722.6192449,736.9322106,752.0674596
Equatorial Guinea,GNQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,467.5463475,470.4719676,452.2141202,445.2282137,423.0346044,451.8972446,420.3713435,420.5062339,414.8504734,394.369789,373.179618,355.9148815,462.1760866,494.5237293,555.8467554,628.8802503,1008.32838,2424.828517,2886.153063,3486.79895,3941.663535,6132.847317,6987.942671,7604.480723,10028.35438,11188.44858,11508.92596,12660.90551,14222.54889,13740.84002,11933.31108,12155.81878,12625.29597,11614.00295,11200.81072,9788.983804,8594.450219,7818.05359,7079.650526,6472.070883,5995.905844,5905.3448,5976.900108,5506.005041
Greece,GRC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5013.849698,5631.044298,5618.016185,6260.201032,6824.474452,7524.055491,7953.804871,8336.573453,8879.166585,9869.791667,10726.71543,11517.73852,12605.74918,13564.11489,12644.18498,13323.56426,14017.06672,14242.78385,15078.16184,15380.09565,15332.89431,14959.92756,14699.58713,14456.69078,14674.07194,14984.03162,15011.8627,14623.7875,15195.54497,15690.87869,15525.7741,15816.08041,15805.59443,15461.4829,15691.94542,15946.75512,16331.04687,16979.40283,17543.23776,18013.06323,18642.72127,19312.30307,19996.4651,21104.74144,22118.05999,22185.42455,23369.15043,24072.79182,23928.50196,22839.24854,21560.35335,19400.80773,18123.6711,17796.25767,18000.41846,18083.87791,18070.78073,18304.30768,18647.49572,19017.99643,17283.24572,18960.89058,20287.7253,20826.89558
Grenada,GRD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,3061.754119,3242.732202,3444.850964,3441.024679,3479.727,3573.99635,3641.840644,3717.238426,3901.99399,4169.572274,4562.190109,4731.4988,4942.080465,5149.573002,5183.711884,5074.379429,4919.813947,4954.593066,5017.016591,5200.403178,5424.855074,6025.303006,6403.386125,6678.307413,6512.592364,6718.090015,7319.465525,7220.547712,8124.412907,7748.233206,8168.45103,8190.647564,7596.902706,7505.713231,7505.265186,7354.973603,7461.400736,7939.502066,8379.621847,8621.538901,8933.108249,9252.554034,9247.898382,7915.138714,8223.186698,8766.930964,9134.307447
Greenland,GRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,15375.18666,17088.68445,17731.07503,18667.31282,19533.19875,19619.79418,20747.14969,22714.63914,24179.20627,25149.9887,27005.32597,26758.55572,25327.60842,25901.47398,24280.25812,24931.49685,26551.2406,27705.0621,28883.81815,30528.80156,26805.5497,26823.37838,25544.29926,24303.89829,25604.59569,26416.5165,26772.61381,27117.37329,29169.04658,29570.96234,31614.61883,31930.59543,31475.82125,32779.88151,34953.94937,36681.80559,38829.53641,39896.87536,42527.66685,42899.7442,43198.03236,42994.87909,43655.70047,43338.38392,45545.14294,44536.35497,46561.78314,46597.94525,47012.98604,48170.7897,48139.5826,48514.52713,,
Guatemala,GTM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1854.789665,1878.541968,1888.699576,2009.31834,2042.451202,2071.636654,2125.379208,2152.873825,2279.867764,2326.818814,2398.718594,2471.775289,2590.83037,2702.948986,2810.10782,2800.958259,2941.271197,3100.406593,3181.281371,3252.584266,3291.730582,3228.295466,3032.227774,2875.090396,2811.285675,2718.251753,2647.952509,2666.92829,2695.086568,2725.101411,2733.861238,2758.67342,2817.225627,2854.127405,2896.217769,2965.885979,2981.115041,3038.707551,3115.971323,3160.073338,3195.388078,3192.302352,3239.560829,3250.834756,3282.31464,3320.157565,3427.67155,3573.592633,3620.82337,3570.295842,3606.423482,3688.858936,3731.668472,3802.146352,3903.051966,3994.629085,4034.150577,4091.259983,4163.476302,4263.708444,4124.143539,4388.724072,4504.129223,4596.32008
Guam,GUM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29531.10131,29640.89325,31446.57205,32507.51749,31273.5773,31481.05247,32128.97223,32298.34765,32964.24536,32841.67229,33392.68538,33822.59302,34328.5632,34522.37793,34509.60065,34763.08114,34460.44653,35341.40513,31510.46336,31913.28896,33298.6993,
Guyana,GUY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2720.063714,2767.277394,2722.748804,2327.364902,2529.594432,2734.956799,2821.524514,2891.686913,2875.224525,3031.982117,3119.135607,3177.291816,3037.459073,3042.102663,3241.628091,3479.407198,3495.549735,3368.336101,3276.380971,3191.847419,3231.776126,3273.776309,2842.132136,2653.395594,2527.643259,2599.473246,2590.016835,2629.743233,2550.163607,2442.664559,2386.057159,2540.872048,2734.675001,2949.563057,3191.165759,3342.172075,3599.048241,3813.194705,3741.804575,3845.874085,3788.241405,3870.729819,3911.924387,3885.970691,3947.438338,3874.06814,4079.999882,4384.073927,4475.049401,4654.515236,4868.694513,5147.160761,5420.664847,5592.737249,5659.081803,5668.429765,5852.81165,6038.253388,6127.679107,6348.68368,9126.791425,10852.57475,17646.21592,23325.12242
High income,HIC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10280.85726,10609.5954,11066.75962,11485.98264,12073.43849,12593.90541,13154.29567,13524.54858,14185.59347,14839.5542,15144.15014,15574.06829,16280.20628,17150.69663,17193.27484,17010.11013,17714.62393,18257.6932,18866.67399,19478.59596,19573.25755,19795.39532,19601.64691,20014.65174,20813.84448,21408.58017,21962.60366,22581.24017,23484.17543,24221.92213,24715.47503,24756.45753,24948.81703,25045.34974,25609.76059,26151.59671,26756.25737,27534.13826,28135.9899,28980.20901,30069.19819,30401.31374,30748.64545,31306.64393,32244.28754,33028.03239,33881.14919,34609.22473,34591.30707,33204.07618,34025.7968,34578.953,34908.35032,35278.01704,35840.91611,36482.99653,36955.78679,37694.68026,38420.01759,38982.24049,37327.80682,39440.2412,40395.78761,40852.72754
"Hong Kong SAR, China",HKG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,3956.028167,4333.840265,4847.315665,5139.790855,5739.564345,5791.071338,5737.087972,5807.357849,6363.709957,6782.667963,7122.078206,7728.272825,8435.8942,8370.844101,8254.019282,9468.524408,10427.13571,11085.83206,11709.2209,12553.12788,13397.33728,13580.06346,14174.72519,15435.99237,15386.68343,16876.28405,18945.7432,20386.25591,20635.56571,21357.28046,22388.63193,23585.6638,24621.66008,25526.46889,25620.03529,25551.40983,26631.82758,24856.78457,25237.66453,26933.24636,26885.4202,27210.06213,28097.08849,30304.28984,32401.34751,34457.998,36371.63324,36924.05888,35938.5849,38090.00655,39656.32652,39887.82405,40959.97821,41796.84392,42432.16197,43087.53832,44380.79384,45280.47389,44195.25234,41451.2864,44530.89383,43283.0159,43548.25383
Honduras,HND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1197.05629,1184.336328,1216.829808,1224.351618,1253.747541,1327.81998,1358.996451,1398.975092,1448.365449,1415.548886,1423.992853,1437.114481,1474.410229,1543.100118,1480.507686,1467.559857,1571.48766,1681.079345,1726.562567,1767.481251,1723.831533,1651.300759,1568.755476,1536.238485,1585.86434,1627.072074,1665.274818,1726.066391,1707.547227,1705.732441,1704.928897,1602.773509,1653.079544,1711.756831,1668.017648,1722.533042,1706.689007,1736.479058,1751.93839,1693.723105,1768.253905,1768.289976,1787.098935,1821.150379,1887.085324,1953.326123,2033.071108,2110.047332,2151.201561,2054.384112,2087.252271,2124.187516,2169.15629,2187.833433,2213.440507,2257.225284,2303.878504,2373.79156,2423.27606,2443.881718,2188.972462,2426.485744,2489.602336,2539.618593
Heavily indebted poor countries (HIPC),HPC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,734.556459,715.9363103,749.3318046,755.9664704,762.2211066,772.0925299,782.0979274,780.6039812,794.8652724,808.8138332,787.5315361,801.69447,797.7279679,801.7799231,820.7248846,814.8040683,823.5281126,830.9400029,828.5464961,810.2212274,796.1282438,801.5767426,786.5242159,768.1041013,756.7862716,747.8850739,751.1050213,755.4039375,745.0321426,735.9855724,709.3295381,694.2515987,666.5294145,649.0093807,628.9550425,641.8730955,655.8982689,673.7046448,678.5257762,680.6618186,681.7617078,687.8081663,693.4807405,699.3372801,718.2187144,736.9541352,758.0319364,777.4580372,798.6781773,805.2597702,830.7996957,843.8321685,852.952626,875.9987364,900.9691798,917.7214597,931.3074943,949.9365993,962.0160042,976.8357075,952.3116984,965.6570193,985.5017887,1002.114369
Croatia,HRV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9756.073208,7843.697493,7096.262869,6491.782235,6796.704667,7306.307065,7855.139991,8380.537175,8574.111379,8537.533101,8877.061983,9513.186677,10060.98433,10621.33827,11062.21748,11523.87716,12106.07737,12723.2435,12981.73425,12057.74382,11937.09803,11971.40675,11732.07834,11728.69989,11736.33488,12135.10362,12666.08721,13250.41072,13768.18945,14321.33448,13157.97243,15520.79749,16712.03605,17234.48109
Haiti,HTI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1716.03758,1634.799389,1731.266763,1668.519773,1612.059885,1616.856291,1578.51925,1517.287154,1537.368177,1567.280243,1549.119422,1619.880995,1606.489374,1653.047572,1717.329172,1704.787026,1814.037453,1845.442409,1922.170866,2027.255203,2134.257092,2032.511246,1920.898405,1899.544386,1867.21925,1840.711158,1794.331759,1743.645467,1711.221721,1627.277528,1610.65493,1608.2638,1493.336657,1385.357136,1196.961764,1291.077381,1319.746893,1330.683682,1335.136258,1346.590517,1333.727163,1305.497766,1296.410662,1318.594136,1279.546579,1297.085979,1298.034867,1336.83232,1350.233471,1406.935026,1312.284847,1363.748826,1349.689241,1387.111157,1406.412226,1405.714776,1411.143101,1426.633682,1430.818767,1387.514904,1324.283277,1284.477926,1247.892382,1210.034669
Hungary,HUN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2075.779858,2163.513355,2288.092956,2412.229872,2517.646396,3575.462586,3828.457999,4100.304407,4284.774496,4561.340324,4757.620408,5038.15423,5329.57035,5678.979136,5987.256519,6321.183174,6512.814617,6975.307181,7257.145859,7439.629701,7449.658122,7662.701442,7885.052611,7954.000027,8181.77633,8175.925092,8315.593936,8667.00868,8674.638006,8834.201301,8613.832218,7589.901968,7360.213656,7326.160507,7552.404674,7675.578171,7695.110537,7952.983132,8282.39886,8560.969094,8967.696269,9354.480751,9825.943199,10255.61011,10792.73743,11278.61603,11741.94768,11792.77129,11932.0384,11162.05597,11307.7162,11551.49893,11466.14191,11705.00925,12233.29937,12717.0386,13035.35286,13628.40449,14377.42416,15083.59917,14437.80885,15521.38159,16345.31109,16286.75933
IBRD only,IBD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,977.1096497,977.3743854,989.9596425,1012.855326,1071.206833,1112.102271,1147.626399,1168.23368,1214.425019,1280.272324,1347.265067,1396.986132,1457.359299,1526.639012,1581.252014,1622.920988,1692.458887,1738.673813,1777.400201,1829.609217,1887.833969,1894.080662,1912.025072,1908.887102,1966.463911,2017.045324,2056.345694,2116.638443,2161.841459,2191.700153,2195.988692,2184.272197,2183.992084,2231.273324,2278.446363,2335.790929,2429.727585,2525.125344,2558.144288,2620.481126,2741.477191,2807.592412,2902.868804,3041.537409,3238.208649,3433.823601,3680.559171,3970.522407,4163.09949,4236.165329,4522.138274,4761.810868,4967.950229,5171.162973,5361.822566,5541.337594,5737.873976,5982.267734,6223.297652,6419.690013,6285.2012,6726.192814,6943.365867,7215.89481
